id,name,symbol,price,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,volume_24h,last_updated
312,CyberConnect,CYBER,6.220358871572289,-35.2077,0.41767318,0.31391156,52.93317651,20.21522852,63.46164742,244.87939274,68660321.22441493,199440168.2011595,2023-10-26 20:12:00
313,StormX,STMX,0.006854235480860954,11.6578,0.43497151,-2.31699692,8.58376918,-6.36242181,27.60415243,1.84847137,68542354.80860953,20113595.69341095,2023-10-26 20:12:00
314,MediBloc,MED,0.009893467195369165,10.0535,-0.0355976,-2.39603358,3.79508979,12.51565019,1.57124704,-23.10980998,68350428.13615257,3350333.59201474,2023-10-26 20:12:00
315,Nakamoto Games,NAKA,0.9245653848048663,1.5545,-0.05851782,4.71630179,32.8029247,65.28564745,122.39953132,129.82069636,66902029.244784065,6770351.73092257,2023-10-26 20:11:00
316,Amp,AMP,0.0015794147757436203,-1.5009,0.52836789,-1.91555686,9.29618853,-4.48704912,-18.73425372,-33.50386546,66695056.778269574,6146442.91557945,2023-10-26 20:11:00
317,Origin Protocol,OGN,0.11652379923995194,-19.5782,0.50275081,-2.02281294,5.96186236,30.09917178,57.74935587,7.896396,66333132.065026864,23149233.18762632,2023-10-26 20:11:00
318,LooksRare,LOOKS,0.06987561166341395,18.5174,0.56064881,1.49000337,31.69645077,36.70347208,8.1039465,27.1463053,66255612.31724922,5451164.0176798,2023-10-26 20:11:00
319,NKN,NKN,0.08748761545482407,52.6485,0.51939419,-0.4529697,9.79018298,3.38622873,4.92754128,-9.18679116,66038395.90368533,4670410.87984528,2023-10-26 20:11:00
320,DODO,DODO,0.10727193000409971,24.3416,0.4941317,0.00755254,13.68107328,12.90074104,13.33751695,15.72932716,65931228.32576102,9433139.79624857,2023-10-26 20:12:00
321,Bifrost,BFC,0.04750832985216167,-64.8916,0.49001666,-4.2641723,-10.81213831,28.91523515,20.5106425,2.77358701,65876882.28423979,3794821.72403079,2023-10-26 20:11:00
322,Neutron,NTRN,0.29877586835748393,-38.3455,0.51113731,-3.75752078,16.32383643,-22.39278587,-13.68882364,-24.67906427,65299528.53820115,21671136.33188207,2023-10-26 20:12:00
323,Access Protocol,ACS,0.0021404732733249585,-40.5568,-0.06397577,-10.72521385,11.47593137,20.62292,7.85636963,-7.27485977,65225345.683128394,2253527.87350993,2023-10-26 20:11:00
324,Bitgert,BRISE,1.647128438840264e-07,26.7357,0.60006674,6.35039249,25.44889458,5.39215413,-20.17326286,-53.30224771,65174931.3029096,2269935.77794243,2023-10-26 20:11:00
325,WINkLink,WIN,6.757531879146731e-05,-2.013,0.21733722,-1.0050214,8.8000091,10.87236609,7.72788248,-4.95721173,64989704.64114503,13139922.26258744,2023-10-26 20:12:00
326,Verge,XVG,0.003932296834215201,-58.7451,0.45992312,-4.90232836,23.0651461,17.71819347,17.51158828,-14.97040191,64969216.54755005,5034373.18284316,2023-10-26 20:11:00
327,Syscoin,SYS,0.08743433278034876,-20.2767,-0.28193721,-1.77851378,6.93549554,2.88040517,4.32967704,-23.07901731,64820509.74402548,1964820.58825477,2023-10-26 20:11:00
328,Phala Network,PHA,0.10438169909894822,11.0693,0.15532611,2.74219173,14.03567762,-2.02888096,27.43667856,5.32730511,64661747.694079936,6456139.67450762,2023-10-26 20:11:00
329,Smooth Love Potion,SLP,0.0015646220981298993,-4.3875,-0.04316388,-0.46190141,10.94186762,11.8039655,8.78886986,-4.02977862,64645564.92213387,7492267.99667821,2023-10-26 20:11:00
330,Metars Genesis,MRS,1.0231590773811574,-6.6666,0.4015519,-1.88986369,18.5705699,33.21085804,-23.71692696,-33.59233861,64305548.01340574,83114.84422058,2023-10-26 20:11:00
331,Hippocrat,HPO,0.07030042967930675,-3.9241,0.24751578,-1.30650197,2.80378176,-1.33729925,7.65393313,-15.59824162,64213064.391677365,2339170.7646512,2023-10-26 20:11:00
332,Dynex,DNX,0.8591891329893844,7.4753,0.78653965,0.57033078,-16.51015647,22.36502366,17.75394101,39.02633198,64047007.41690494,1730422.05223292,2023-10-26 20:11:00
333,Morpheus.Network,MNW,1.3498989881220695,36.4835,0.28399634,7.99649552,31.56485537,35.76725544,22.15230689,31.41336234,63688252.96757934,648953.64136098,2023-10-26 20:11:00
334,Gitcoin,GTC,0.9593933890198211,34.4583,0.44226257,0.59182708,17.39361249,11.37830598,12.46663488,-5.65762586,63599198.537290476,8282489.00687091,2023-10-26 20:11:00
335,Maverick Protocol,MAV,0.25178031306563253,-49.5134,0.3112915,-0.79415265,23.86757508,8.66760105,19.84975821,-17.90097835,62945078.26640813,7890349.00367719,2023-10-26 20:11:00
